"";"ID";"Name_submitted";"Overall_score";"Name_matched_id";"Name_matched";"Name_score";"Name_matched_rank";"Author_submitted";"Author_matched";"Author_score";"Canonical_author";"Name_matched_accepted_family";"Genus_submitted";"Genus_matched";"Genus_score";"Specific_epithet_submitted";"Specific_epithet_matched";"Specific_epithet_score";"Family_submitted";"Family_matched";"Family_score";"Infraspecific_rank";"Infraspecific_epithet_matched";"Infraspecific_epithet_score";"Infraspecific_rank_2";"Infraspecific_epithet_2_matched";"Infraspecific_epithet_2_score";"Annotations";"Unmatched_terms";"Name_matched_url";"Name_matched_lsid";"Phonetic";"Taxonomic_status";"Accepted_name";"Accepted_species";"Accepted_name_author";"Accepted_name_id";"Accepted_name_rank";"Accepted_name_url";"Accepted_name_lsid";"Accepted_family";"Overall_score_order";"Highertaxa_score_order";"Source";"Warnings";"WarningsEng"
"25";"25";"Carlina_acaulis";0,9;"89436";"Carlina acaulis";1;"species";"";"";NA;"L.";"Asteraceae";"Carlina";"Carlina";1;"acaulis";"acaulis";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189213-1";"";"Y";"Accepted";"Carlina acaulis";"Carlina acaulis";"L.";"89436";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189213-1";"";"Asteraceae";"1";"1";"wcvp";"0";""
"26";"26";"Centaurea_angustifolia";0,9;"126557";"Centaurea angustifolia";1;"species";"";"";NA;"Mill.";"Asteraceae";"Centaurea";"Centaurea";1;"angustifolia";"angustifolia";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:189885-1";"";"Y";"Synonym";"Centaurea montana";"Centaurea montana";"L.";"131014";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191037-1";"";"Asteraceae";"1";"1";"wcvp";"0";""
"27";"27";"Centaurea_scabiosa";0,9;"14451";"Centaurea scabiosa";1;"species";"";"";NA;"L.";"Asteraceae";"Centaurea";"Centaurea";1;"scabiosa";"scabiosa";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191521-1";"";"Y";"Accepted";"Centaurea scabiosa";"Centaurea scabiosa";"L.";"14451";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191521-1";"";"Asteraceae";"1";"1";"wcvp";"0";""
"28";"28";"Cerastium_arvense";0,9;"588238";"Cerastium arvense";1;"species";"";"";NA;"L.";"Caryophyllaceae";"Cerastium";"Cerastium";1;"arvense";"arvense";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329786-2";"";"Y";"Accepted";"Cerastium arvense";"Cerastium arvense";"L.";"588238";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329786-2";"";"Caryophyllaceae";"1";"1";"wcvp";"0";""
"29";"29";"Coronilla_vaginalis";0,9;"208983";"Coronilla vaginalis";1;"species";"";"";NA;"Lam.";"Fabaceae";"Coronilla";"Coronilla";1;"vaginalis";"vaginalis";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:487277-1";"";"Y";"Accepted";"Coronilla vaginalis";"Coronilla vaginalis";"Lam.";"208983";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:487277-1";"";"Fabaceae";"1";"1";"wcvp";"0";""
"30";"30";"Chamaecytisus_ratisbonensis";0,9;"208964";"Chamaecytisus ratisbonensis";1;"species";"";"";NA;"(Schaeff.) Rothm.";"Fabaceae";"Chamaecytisus";"Chamaecytisus";1;"ratisbonensis";"ratisbonensis";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485981-1";"";"Y";"Accepted";"Chamaecytisus ratisbonensis";"Chamaecytisus ratisbonensis";"(Schaeff.) Rothm.";"208964";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485981-1";"";"Fabaceae";"1";"1";"wcvp";"0";""
"31";"31";"Dactylis_glomerata";0,9;"853224";"Dactylis glomerata";1;"species";"";"";NA;"L.";"Poaceae";"Dactylis";"Dactylis";1;"glomerata";"glomerata";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1";"";"Y";"Accepted";"Dactylis glomerata";"Dactylis glomerata";"L.";"853224";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1";"";"Poaceae";"1";"1";"wcvp";"0";""
"32";"32";"Danthonia_alpina";0,9;"853502";"Danthonia alpina";1;"species";"";"";NA;"Vest";"Poaceae";"Danthonia";"Danthonia";1;"alpina";"alpina";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397443-1";"";"Y";"Accepted";"Danthonia alpina";"Danthonia alpina";"Vest";"853502";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397443-1";"";"Poaceae";"1";"1";"wcvp";"0";""
"33";"33";"Danthonia_decumbens";0,9;"853612";"Danthonia decumbens";1;"species";"";"";NA;"(L.) DC.";"Poaceae";"Danthonia";"Danthonia";1;"decumbens";"decumbens";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397531-1";"";"Y";"Accepted";"Danthonia decumbens";"Danthonia decumbens";"(L.) DC.";"853612";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397531-1";"";"Poaceae";"1";"1";"wcvp";"0";""
"34";"34";"Daphne_cneorum";0,9;"630432";"Daphne cneorum";1;"species";"";"";NA;"L.";"Thymelaeaceae";"Daphne";"Daphne";1;"cneorum";"cneorum";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:831193-1";"";"Y";"Accepted";"Daphne cneorum";"Daphne cneorum";"L.";"630432";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:831193-1";"";"Thymelaeaceae";"1";"1";"wcvp";"0";""
"35";"35";"Dianthus_carthusianorum";0,9;"636082";"Dianthus carthusianorum";1;"species";"";"";NA;"L.";"Caryophyllaceae";"Dianthus";"Dianthus";1;"carthusianorum";"carthusianorum";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302053-2";"";"Y";"Accepted";"Dianthus carthusianorum";"Dianthus carthusianorum";"L.";"636082";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:302053-2";"";"Caryophyllaceae";"1";"1";"wcvp";"0";""
"36";"36";"Dorycnium_germanicum";0,9;"161749";"Dorycnium germanicum";1;"species";"";"";NA;"(Gremli) Rikli";"Fabaceae";"Dorycnium";"Dorycnium";1;"germanicum";"germanicum";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2873271-4";"";"Y";"Synonym";"Lotus germanicus";"Lotus germanicus";"(Gremli) Peruzzi";"741751";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110166-1";"";"Fabaceae";"1";"1";"wcvp";"0";""
"37";"37";"Erica_carnea";0,9;"664214";"Erica carnea";1;"species";"";"";NA;"L.";"Ericaceae";"Erica";"Erica";1;"carnea";"carnea";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332092-2";"";"Y";"Accepted";"Erica carnea";"Erica carnea";"L.";"664214";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332092-2";"";"Ericaceae";"1";"1";"wcvp";"0";""
"38";"38";"Euphorbia_cyparissias";0,9;"953005";"Euphorbia cyparissias";1;"species";"";"";NA;"L.";"Euphorbiaceae";"Euphorbia";"Euphorbia";1;"cyparissias";"cyparissias";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:346205-1";"";"Y";"Accepted";"Euphorbia cyparissias";"Euphorbia cyparissias";"L.";"953005";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:346205-1";"";"Euphorbiaceae";"1";"1";"wcvp";"0";""
"39";"39";"Euphorbia_verrucosa";0,9;"956690";"Euphorbia verrucosa";1;"species";"";"";NA;"L.";"Euphorbiaceae";"Euphorbia";"Euphorbia";1;"verrucosa";"verrucosa";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:348671-1";"";"Y";"Accepted";"Euphorbia verrucosa";"Euphorbia verrucosa";"L.";"956690";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:348671-1";"";"Euphorbiaceae";"1";"1";"wcvp";"0";""
"40";"40";"Euphrasia_officinalis_ssp_rostkoviana";0,9;"1499977";"Euphrasia officinalis subsp. rostkoviana";1;"subspecies";"";"";NA;"(Hayne) F.Towns.";"Orobanchaceae";"Euphrasia";"Euphrasia";1;"officinalis";"officinalis";1;"";"";NA;"subsp.";"rostkoviana";1;"";"";NA;"";"___";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2933356-4";"";"Y";"Synonym";"Euphrasia officinalis subsp. pratensis";"Euphrasia officinalis";"Fr.";"1377276";"subspecies";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77251948-1";"";"Orobanchaceae";"1";"1";"wcvp";"0";""
"41";"41";"Euphrasia_officinalis_ssp_picta";0,9;"1515819";"Euphrasia officinalis subsp. picta";1;"subspecies";"";"";NA;"(Wimm.) Čelak.";"Orobanchaceae";"Euphrasia";"Euphrasia";1;"officinalis";"officinalis";1;"";"";NA;"subsp.";"picta";1;"";"";NA;"";"___";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:2910576-4";"";"Y";"Synonym";"Euphrasia picta";"Euphrasia picta";"Wimm.";"1122344";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:802764-1";"";"Orobanchaceae";"1";"1";"wcvp";"0";""
"42";"42";"Festuca_rupicola";0,9;"863722";"Festuca rupicola";1;"species";"";"";NA;"Heuff.";"Poaceae";"Festuca";"Festuca";1;"rupicola";"rupicola";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:403454-1";"";"Y";"Accepted";"Festuca rupicola";"Festuca rupicola";"Heuff.";"863722";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:403454-1";"";"Poaceae";"1";"1";"wcvp";"0";""
"43";"43";"Filipendula_vulgaris";0,9;"990719";"Filipendula vulgaris";1;"species";"";"";NA;"Moench";"Rosaceae";"Filipendula";"Filipendula";1;"vulgaris";"vulgaris";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724945-1";"";"Y";"Accepted";"Filipendula vulgaris";"Filipendula vulgaris";"Moench";"990719";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:724945-1";"";"Rosaceae";"1";"1";"wcvp";"0";""
"44";"44";"Fragaria_viridis";0,9;"998275";"Fragaria viridis";1;"species";"";"";NA;"Weston";"Rosaceae";"Fragaria";"Fragaria";1;"viridis";"viridis";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60441587-2";"";"Y";"Accepted";"Fragaria viridis";"Fragaria viridis";"Weston";"998275";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60441587-2";"";"Rosaceae";"1";"1";"wcvp";"0";""
"45";"45";"Galium_boreale";0,9;"959840";"Galium boreale";1;"species";"";"";NA;"L.";"Rubiaceae";"Galium";"Galium";1;"boreale";"boreale";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:749626-1";"";"Y";"Accepted";"Galium boreale";"Galium boreale";"L.";"959840";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:749626-1";"";"Rubiaceae";"1";"1";"wcvp";"0";""
"46";"46";"Galium_mollugo";0,9;"960873";"Galium mollugo";1;"species";"";"";NA;"L.";"Rubiaceae";"Galium";"Galium";1;"mollugo";"mollugo";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750253-1";"";"Y";"Accepted";"Galium mollugo";"Galium mollugo";"L.";"960873";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750253-1";"";"Rubiaceae";"1";"1";"wcvp";"0";""
"47";"47";"Galium_pumilum";0,9;"961333";"Galium pumilum";1;"species";"";"";NA;"Murray";"Rubiaceae";"Galium";"Galium";1;"pumilum";"pumilum";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750495-1";"";"Y";"Accepted";"Galium pumilum";"Galium pumilum";"Murray";"961333";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750495-1";"";"Rubiaceae";"1";"1";"wcvp";"0";""
"48";"48";"Galium_verum";0,9;"961932";"Galium verum";1;"species";"";"";NA;"L.";"Rubiaceae";"Galium";"Galium";1;"verum";"verum";1;"";"";NA;"";"";NA;"";"";NA;"";"_";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750829-1";"";"Y";"Accepted";"Galium verum";"Galium verum";"L.";"961932";"species";"https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:750829-1";"";"Rubiaceae";"1";"1";"wcvp";"0";""
