plot,elevation,plot_size,treatment,mowing,survey_date_2024,botanist_2024,cover_vegetation_2024,cover_moss_2024,cover_litter_2024,cover_soil_2024,height_vegetation_2024,comments
res07,469,4,cut_summer,1990,2024-06-10,Sina Appeltauer,60,20,75,7,48,
res36,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,55,70,50,15,35,Galium verum daneben
res34,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,65,70,75,5,40,Rhinanthus glacialis daneben
res39,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,60,30,70,15,35,Stachys recta daneben
res37,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,50,20,75,15,35,Thymus Backenklee & Trifolium montanum in der Nähe
res33,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,60,40,60,20,35,
res35,469,4,cut_autumn,2000,2024-06-11,Malte Knoeppler,55,35,80,5,40,
res22,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,40,60,70,3,27,sehr wenig Blüten
res23,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,45,60,60,5,32,
res24,469,4,cut_summer,2000,2024-06-12,Malte Knoeppler,55,60,55,10,30,
res25,469,4,cut_summer,2000,2024-06-12,Malte Knoeppler / Sina Appeltauer,55,35,70,7,0,
res26,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,45,50,75,8,36,
res27,469,4,cut_summer,2000,2024-06-12,Malte Knoeppler,60,85,25,5,25,
res28,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,50,70,80,1,28,
res84,469,4,cut_autumn,2000,2024-06-12,Malte Knoeppler,50,60,50,70,50,
res85,469,4,cut_autumn,2000,2024-06-12,Malte Knoeppler,50,35,45,20,40,
res86,469,4,cut_autumn,2000,2024-06-12,Malte Knoeppler,55,25,65,10,40,
res87,469,4,cut_autumn,2000,2024-06-12,Malte Knoeppler,60,45,60,10,50,
res88,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,55,10,70,6,44,Schafskot? angrenzend Kaninchenbau
res89,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,80,5,70,50,58,angrenzend Carduus acanthoides
res90,469,4,cut_summer,2000,2024-06-12,Sina Appeltauer,70,30,80,5,46,angrenzend Genista tinctoria Prunella grandiflora
res65,469,4,cut_autumn,2000,2024-06-13,Maren Teschauer,45,60,65,4,34,daneben: Koeleria pyramidata Inula hirta
res83,469,4,cut_autumn,2000,2024-06-13,Maren Teschauer / Sina Appeltauer,70,85,60,2,57,herum: Buphthalmum salicifolium Salvia pratense Dianthus carthusianorum Betonica officinale
res81,469,4,cut_autumn,2000,2024-06-13,Maren Teschauer,65,95,75,1,42,
res67,469,4,cut_autumn,2000,2024-06-13,Maren Teschauer,65,30,50,6,48,
res76,469,4,cut_autumn,2000,2024-06-13,Maren Teschauer,90,20,30,4,41,zwischen 67 & 76: Stachys recta buschig
res82,469,4,cut_autumn,2000,2024-06-13,Sina Appeltauer,60,30,60,10,57,1 schlafender Schachbrettfalter :)
res79,469,4,cut_autumn,2000,2024-06-13,Sina Appeltauer,65,90,50,4,51,
res75,469,4,cut_autumn,2000,2024-06-13,Sina Appeltauer,75,65,30,15,39, großer dichter Fleck Brachypodium pinnatum innerhalb Plot angrenzend Stachys recta
res70,469,4,cut_autumn,2000,2024-06-13,Sina Appeltauer,75,90,60,2,37,
res66,469,4,cut_autumn,2000,2024-06-13,Sina Appeltauer,70,60,80,1,42,
res80,469,4,cut_autumn,2000,2024-06-14,Sina Appeltauer,70,80,75,1,42,
res69,469,4,cut_autumn,2000,2024-06-14,Sina Appeltauer,75,80,70,5,41,
res78,469,4,cut_autumn,2000,2024-06-14,Sina Appeltauer,85,50,70,1,49,
res72,469,4,cut_autumn,2000,2024-06-14,Sina Appeltauer,80,85,65,3,50,grasdominiert
res46,469,4,grazing,1990,2024-06-15,Malte Knoeppler,15,5,2,80,4,
res53,469,4,cut_summer,1990,2024-06-15,Malte Knoeppler,60,50,70,10,50,
res50,469,4,cut_summer,1990,2024-06-15,Malte Knoeppler,50,60,70,10,40,
res41,469,4,grazing,1990,2024-06-15,Malte Knoeppler,20,3,3,80,4,
res45,469,4,grazing,1990,2024-06-15,Malte Knoeppler,25,90,2,7,6,
res44,469,4,grazing,1990,2024-06-15,Malte Knoeppler,20,85,2,10,4,
res43,469,4,grazing,1990,2024-06-15,Malte Knoeppler,20,30,4,55,10,
res40,469,4,grazing,1990,2024-06-15,Malte Knoeppler,20,40,4,45,15,
res42,469,4,grazing,1990,2024-06-15,Sina Appeltauer,40,70,2,10,14,
res47,469,4,grazing,1990,2024-06-15,Sina Appeltauer,40,30,5,40,16,
res48,469,4,grazing,1990,2024-06-15,Sina Appeltauer,40,60,5,55,14,
res49,469,4,cut_summer,1990,2024-06-15,Sina Appeltauer,85,70,25,2,38,
res52,469,4,cut_summer,1990,2024-06-15,Sina Appeltauer,85,30,70,5,36,angrenzend Potentilla recta
res51,469,4,cut_summer,1990,2024-06-15,Sina Appeltauer,90,30,69,0,29,
res77,469,4,cut_autumn,2000,2024-06-17,Sina Appeltauer,75,80,50,5,63,
res71,469,4,cut_autumn,2000,2024-06-17,Sina Appeltauer,90,30,30,1,100,sehr hohes Arrhenaterum elatius Koeleria pyramidata Hälfte des Plots
res68,469,4,cut_autumn,2000,2024-06-17,Sina Appeltauer,90,40,50,2,50,
res74,469,4,cut_autumn,2000,2024-06-17,Sina Appeltauer,80,95,60,0,59,
res73,469,4,cut_autumn,2000,2024-06-17,Sina Appeltauer,75,90,70,1,0,
res60,469,4,grazing,2000,2024-06-18,Malte Knoeppler,25,50,2,25,6,
res54,469,4,grazing,2000,2024-06-18,Malte Knoeppler,20,35,3,45,6,
res55,469,4,grazing,2000,2024-06-18,Malte Knoeppler,15,80,1,10,5,
res56,469,4,grazing,2000,2024-06-18,Malte Knoeppler,20,50,3,30,6,
res58,469,4,grazing,2000,2024-06-18,Malte Knoeppler,15,65,2,25,5,
res59,469,4,grazing,2000,2024-06-18,Malte Knoeppler,20,70,1,15,13,
res57,469,4,grazing,2000,2024-06-19,Maren Teschauer,25,55,2,25,5,
res63,469,4,cut_summer,2000,2024-06-19,Maren Teschauer,60,35,80,5,40,daneben: 2x Gymnadenia conopsea Scabiosa columbaria Centaurea scabiosa Briza media
res61,469,4,grazing,2000,2024-06-19,Maren Teschauer,30,80,2,5,10,daneben: Bupthalmum salicifolium Carex humilis Rhinanthus glacialis  zwischen 60&61: Biscutella laevigata
res62,469,4,cut_summer,2000,2024-06-19,Maren Teschauer,75,90,70,2,31,daneben: Peucedanum oreoselinum Dianthus cartusianorum Securigera varia Scabiosa columbaria Galium verum Prunella grandiflora Centaurea scabiosa
res64,469,4,cut_summer,2000,2024-06-19,Maren Teschauer,75,60,70,5,64,
